date,ticker,shares,buy_price,buy_value
2017-12-29,GPIL,1106,85.8125,94908.625
2017-12-29,JINDALSTEL,463,205.0500030517578,94938.15141296387
2017-12-29,JUBLFOOD,539,176.11000061035156,94923.29032897949
2017-12-29,PRAKASH,560,169.4019317626953,94865.08178710938
2017-12-29,TVSMOTOR,123,770.7000122070312,94796.10150146484
2017-12-29,RADICO,323,293.8999938964844,94929.69802856445
2017-12-29,TITAN,110,858.1500244140625,94396.50268554688
2018-01-31,DEEPAKNTR,333,278.1000061035156,92607.3020324707
2018-01-31,ACE,538,172.0500030517578,92562.9016418457
2018-01-31,COFORGE,541,171.22999572753906,92635.42768859863
2018-01-31,MPHASIS,103,894.8499755859375,92169.54748535156
2018-01-31,SUNTECK,219,422.3500061035156,92494.65133666992
2018-01-31,ADANIENT,798,116.17294311523438,92706.00860595703
2018-01-31,PCBL,768,120.68000030517578,92682.240234375
2018-01-31,PCJEWELLER,1910,48.53499984741211,92701.84970855713
2018-02-28,LTIM,69,1440.0999755859375,99366.89831542969
2018-02-28,VENKEYS,25,3924.25,98106.25
2018-02-28,JSWSTEEL,321,312.20001220703125,100216.20391845703
2018-02-28,STLTECH,279,359.3500061035156,100258.65170288086
2018-02-28,KEC,241,415.25,100075.25
2018-02-28,BIOCON,318,315.0249938964844,100177.94805908203
2018-02-28,INFY,171,586.2999877929688,100257.29791259766
2018-02-28,PRAKASH,553,181.16835021972656,100186.09767150879
2018-02-28,BOMDYEING,387,258.6499938964844,100097.54763793945
2018-02-28,BSOFT,746,134.33465576171875,100213.65319824219
2018-03-28,CHOLAFIN,307,290.0899963378906,89057.62887573242
2018-03-28,DBL,88,1003.2999877929688,88290.39892578125
2018-03-28,BRITANNIA,35,2485.300048828125,86985.50170898438
2018-03-28,BAJAJELEC,172,517.926025390625,89083.2763671875
2018-03-28,TECHM,139,638.7000122070312,88779.30169677734
2018-03-28,MASTEK,168,530.5,89124.0
2018-03-28,ASHOKLEY,1225,72.7249984741211,89088.12313079834
2018-03-28,DMART,67,1324.800048828125,88761.60327148438
2018-03-28,GRAPHITE,122,726.0999755859375,88584.19702148438
